# FIELDS:
#  1) Producer name
#  2) Mapping name
#  3) Parameter id type:
#         1 = FMI_ID
#         2 = FMI_NAME
#         3 = GRIB_ID
#         4 = NEWBASE_ID
#         5 = NEWBASE_NAME
#         6 = NETCDF_NAME
#  4) Parameter id / name
#  5) Geometry id
#  6) Parameter level id type:
#         1 = FMI
#         2 = GRIB1
#         3 = GRIB2
#  7) Level id
#         FMI level identifiers:
#            1 Gound or water surface
#            2 Pressure level
#            3 Hybrid level
#            4 Altitude
#            5 Top of atmosphere
#            6 Height above ground in meters
#            7 Mean sea level
#            8 Entire atmosphere
#            9 Depth below land surface
#            10 Depth below some surface
#            11 Level at specified pressure difference from ground to level
#            12 Max equivalent potential temperature level
#            13 Layer between two metric heights above ground
#            14 Layer between two depths below land surface
#            15 Isothermal level, temperature in 1/100 K
#  8) Level
#  9) Area interpolation method
#         0 = None
#         1 = Linear
#         2 = Nearest
#         3 = Min
#         4 = Max
#         9 = Landscape
#         10 = Forbidden
#         500..999 = List
#         1000..65535 = External (interpolated by an external function)
# 10) Time interpolation method
#         0 = None
#         1 = Linear
#         2 = Nearest
#         3 = Min
#         4 = Max
#         6 = Previous
#         7 = Next
#         1000..65535 = External (interpolated by an external function)
# 11) Level interpolation method
#         0 = None
#         1 = Linear
#         2 = Nearest
#         3 = Min
#         4 = Max
#         5 = Logarithmic
#         6 = Previous
#         7 = Next
#         1000..65535 = External (interpolated by an external function)
# 12) Group flags
#         bit 0 = Climatological parameter (=> ignore year when searching)
#         bit 1 = Global parameter (=> ignore timestamp when searching, for example LandSeaMask)
# 13) Search match (Can this mapping used when searching mappings for incomplete parameters)
#         E = Enabled
#         D = Disabled
#         I = Ignore
# 14) Mapping function (enables data conversions during the mapping)
# 15) Reverse mapping function
# 16) Default precision
# 
ECMOSKRIGING;y_wind;2;V-MS;1065;1;6;000010;2;2;2;0;E;;;;
MEPS;air_pressure;2;P-PA;1093;1;20;000000;1;1;1;0;E;;;;
MEPS;air_pressure;2;P-PA;1093;1;6;000000;1;1;1;0;E;;;;
MEPS;air_pressure;2;P-PA;1093;1;7;000000;1;1;1;0;D;;;;
MEPS;air_temperature;2;T-K;1093;1;20;000000;1;1;1;0;E;;;;
MEPS;air_temperature;2;T-K;1093;1;2;*;1;1;1;0;D;;;;
MEPS;air_temperature;2;T-K;1093;1;3;*;1;1;1;0;D;;;;
MEPS;air_temperature;2;T-K;1093;1;6;000000;1;1;1;0;E;;;;
MEPS;air_temperature;2;T-K;1093;1;6;000002;1;1;1;0;E;;;;
MEPS;air_temperature;2;T-K;1093;1;6;000080;1;1;1;0;D;;;;
MEPS;air_temperature;2;T-K;1093;1;6;000120;1;1;1;0;D;;;;
MEPS;atmosphere_convective_available_potential_energy;2;CAPE-JKG;1093;1;6;000000;1;1;1;0;E;;;;
MEPS;atmosphere_convective_inhibition;2;CIN-JKG;1093;1;6;000000;1;1;1;0;E;;;;
MEPS;atmosphere_mass_content_of_cloud_ice;2;CLDICE-KGKG;1093;1;2;*;1;1;1;0;D;;;;
MEPS;atmosphere_mass_content_of_cloud_ice;2;CLDICE-KGKG;1093;1;3;*;1;1;1;0;D;;;;
MEPS;atmosphere_mass_content_of_cloud_liquid_water;2;CLDWAT-KGKG;1093;1;2;*;1;1;1;0;D;;;;
MEPS;atmosphere_mass_content_of_cloud_liquid_water;2;CLDWAT-KGKG;1093;1;3;*;1;1;1;0;D;;;;
MEPS;cloud_base_altitude;2;CLDBASE-M;1093;1;8;000000;1;1;1;0;E;;;;
